player,games,minutes,points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,rebds.,assists,steals,blocks,TOV,PF,EFF,AST/,STL/,salary
Precious Achiuwa,57,686,277,112,208,53.8,0,0,0,53,103,51.5,70,127,197,27,18,26,41,88,358,0.66,0.44,2582160
David Nwaba,30,679,276,106,218,48.6,17,63,27,47,68,69.1,40,78,118,31,30,21,17,60,326,1.82,1.77,1862250
Dwight Powell,50,765,276,95,162,58.6,5,21,23.8,81,106,76.4,62,119,181,37,30,19,32,109,419,1.16,0.94,10185185
Michael Carter-Williams,31,800,274,105,270,38.9,15,61,24.6,49,80,61.3,39,100,139,129,25,17,69,81,319,1.87,0.36,3000000
Tony Bradley,38,615,270,118,178,66.3,0,3,0,34,51,66.7,81,136,217,32,15,28,30,56,455,1.07,0.5,3542060
Devin Vassell,53,853,263,92,234,39.3,45,120,37.5,34,40,85,19,119,138,46,39,15,18,73,335,2.56,2.17,4033440
Andre Iguodala,57,1222,261,89,234,38,59,175,33.7,24,36,66.7,35,173,208,126,55,32,56,81,469,2.25,0.98,15000000
Jalen McDaniels,39,663,259,99,211,46.9,27,78,34.6,34,48,70.8,30,90,120,39,22,13,37,74,290,1.05,0.6,1517981
Mitchell Robinson,31,853,256,115,176,65.3,0,0,0,26,53,49.1,113,139,252,17,35,45,26,86,491,0.65,1.35,1663861
Damyean Dotson,39,740,254,97,245,39.6,37,130,28.5,23,34,67.6,5,73,78,81,14,4,32,39,240,2.53,0.44,2000000
Drew Eubanks,45,626,253,96,166,57.8,1,1,100,60,87,69,55,136,191,36,17,43,39,71,404,0.92,0.44,1620564
Malachi Flynn,40,719,253,91,247,36.8,38,121,31.4,33,40,82.5,8,80,88,109,30,5,36,54,286,3.03,0.83,1950600
Frank Kaminsky,39,567,249,97,203,47.8,28,73,38.4,27,47,57.4,28,115,143,59,13,15,17,52,336,3.47,0.77,1882867
Patrick Beverley,31,726,249,82,190,43.2,52,125,41.6,33,41,80.5,27,84,111,65,26,24,27,97,332,2.41,0.96,13333333
Mychal Mulder,52,586,248,88,195,45.1,61,157,38.9,11,19,57.9,4,45,49,21,9,9,12,42,209,1.75,0.75,1517981
Grant Williams,56,1014,245,90,209,43.1,43,115,37.4,22,40,55,43,111,154,54,30,21,49,142,318,1.1,0.61,2498760
R.J. Hampton,44,677,244,95,222,42.8,19,67,28.4,35,51,68.6,22,107,129,47,20,7,41,54,263,1.15,0.49,2193480
Willie Cauley-Stein,45,775,244,99,158,62.7,1,10,10,45,72,62.5,57,141,198,29,17,36,23,106,415,1.26,0.74,4000000
Kevin Love,21,502,242,82,203,40.4,45,129,34.9,33,41,80.5,12,130,142,51,12,2,32,23,288,1.59,0.38,31300000
Marc Gasol,46,886,242,82,182,45.1,44,112,39.3,34,46,73.9,36,152,188,94,23,54,52,101,437,1.81,0.44,2564753
Semi Ojeleye,51,884,242,81,204,39.7,56,147,38.1,24,32,75,28,106,134,35,15,0,20,54,275,1.75,0.75,1752950
Matisse Thybulle,61,1224,240,96,228,42.1,40,133,30.1,8,18,44.4,30,89,119,60,96,64,28,122,409,2.14,3.43,2711280
Rodney Hood,52,914,239,91,253,36,34,110,30.9,23,27,85.2,22,75,97,53,23,7,36,73,217,1.47,0.64,10047450
Justin Jackson,33,544,236,86,212,40.6,34,111,30.6,30,35,85.7,14,57,71,51,15,2,31,31,213,1.65,0.48,5029650
Tony Snell,42,884,228,79,154,51.3,59,104,56.7,11,11,100,16,82,98,55,11,11,19,65,309,2.9,0.58,12178571
Isaiah Hartenstein,44,534,226,90,158,57,2,5,40,44,69,63.8,63,114,177,49,18,38,42,99,373,1.17,0.43,1445697
Wesley Matthews,50,965,226,71,212,33.5,54,168,32.1,30,35,85.7,14,63,77,46,32,15,22,70,228,2.09,1.46,3623000
Caleb Martin,47,690,225,83,219,37.9,26,103,25.2,33,53,62.3,29,98,127,57,32,9,29,53,265,1.97,1.1,1517981
DeAndre' Bembry,44,773,224,89,168,53,9,34,26.5,37,54,68.5,26,91,117,83,37,15,58,65,322,1.43,0.64,1737145
Ish Smith,36,738,224,97,229,42.4,14,38,36.8,16,29,55.2,17,99,116,148,26,11,36,51,344,4.11,0.72,6146341
Jake Layman,42,602,221,87,175,49.7,21,73,28.8,26,37,70.3,13,51,64,28,29,17,26,41,234,1.08,1.12,3761085
Brandon Goodwin,45,609,220,81,219,37,31,102,30.4,27,41,65.9,8,60,68,92,15,0,36,40,207,2.56,0.42,1701593
Moritz Wagner,37,507,220,75,161,46.6,19,58,32.8,51,64,79.7,18,88,106,40,22,13,31,80,271,1.29,0.71,2383915
Obi Toppin,54,602,218,89,184,48.4,21,74,28.4,19,26,73.1,23,99,122,25,14,12,23,49,266,1.09,0.61,4862040
Sekou Doumbouya,50,701,216,79,222,35.6,23,97,23.7,35,49,71.4,28,83,111,37,20,5,36,79,196,1.03,0.56,3449400
Trevor Ariza,24,655,214,74,182,40.7,38,110,34.5,28,38,73.7,20,91,111,45,21,16,17,41,272,2.65,1.24,12800000
Torrey Craig,42,636,213,85,173,49.1,30,79,38,13,18,72.2,45,114,159,39,24,23,20,63,345,1.95,1.2,1678854
Gorgui Dieng,31,468,212,67,127,52.8,28,59,47.5,50,58,86.2,33,87,120,36,21,15,27,50,309,1.33,0.78,17587688
Kevon Looney,53,949,211,91,168,54.2,4,17,23.5,25,38,65.8,100,153,253,105,20,19,33,113,485,3.18,0.61,4821429
Nemanja Bjelica,35,537,210,78,175,44.6,20,74,27,34,47,72.3,25,92,117,59,11,4,31,64,260,1.9,0.36,7150000
George Hill,22,522,208,76,158,48.1,25,66,37.9,31,39,79.5,15,36,51,57,15,5,21,18,225,2.71,0.71,9590602
Cody Martin,52,849,207,83,188,44.1,16,58,27.6,25,43,58.1,52,109,161,86,37,12,40,52,340,2.15,0.93,1517981
Jevon Carter,52,598,202,76,184,41.3,47,130,36.2,3,6,50,13,64,77,60,25,9,13,52,249,4.62,1.92,3549383
Nassir Little,43,597,200,69,155,44.5,27,78,34.6,35,44,79.5,30,89,119,22,5,13,16,50,248,1.38,0.31,2210640
Rajon Rondo,39,646,198,80,184,43.5,28,75,37.3,10,11,90.9,14,75,89,159,31,4,60,50,316,2.65,0.52,7500000
Tyler Johnson,36,627,195,66,170,38.8,45,124,36.3,18,21,85.7,6,63,69,41,14,0,15,37,197,2.73,0.93,2028594
Austin Rivers,28,616,194,73,180,40.6,34,105,32.4,14,19,73.7,6,54,60,58,20,2,25,45,197,2.32,0.8,3174603
Yuta Watanabe,46,637,193,70,154,45.5,31,76,40.8,22,27,81.5,35,108,143,35,22,19,17,54,306,2.06,1.29,321893
Taj Gibson,37,760,192,79,126,62.7,3,14,21.4,31,45,68.9,81,121,202,26,28,34,20,79,401,1.3,1.4,3283684
Goga Bitadze,37,419,189,70,153,45.8,15,56,26.8,34,45,75.6,48,71,119,26,8,46,16,71,278,1.63,0.5,2957520
Mike Scott,43,735,184,65,175,37.1,46,133,34.6,8,12,66.7,9,98,107,30,23,7,18,64,219,1.67,1.28,5005350
D.J. Wilson,35,433,183,68,168,40.5,30,87,34.5,17,25,68,20,92,112,23,11,16,22,44,215,1.05,0.5,4548280
Jarrett Culver,34,499,180,69,168,41.1,13,53,24.5,29,48,60.4,34,70,104,24,17,9,28,58,188,0.86,0.61,6104280
P.J. Tucker,45,1214,179,62,162,38.3,37,107,34.6,18,24,75,47,142,189,52,36,20,37,113,333,1.41,0.97,7969537
Stanley Johnson,54,789,179,61,160,38.1,32,97,33,25,30,83.3,22,99,121,68,41,17,43,95,279,1.58,0.95,3801000
Patrick Patterson,36,510,174,63,145,43.4,36,99,36.4,12,16,75,16,52,68,22,13,8,11,44,188,2,1.18,3814768
Onyeka Okongwu,43,500,172,71,114,62.3,0,3,0,30,47,63.8,44,82,126,10,18,28,23,90,271,0.44,0.78,5813640
Avery Bradley,26,577,171,63,165,38.2,33,98,33.7,12,15,80,7,47,54,43,20,4,26,53,161,1.65,0.77,5635000
Aaron Nesmith,39,535,168,60,137,43.8,34,89,38.2,14,20,70,22,75,97,14,13,9,20,65,198,0.7,0.65,3458400
Langston Galloway,36,386,165,58,123,47.2,32,71,45.1,17,17,100,5,33,38,24,8,0,13,23,157,1.85,0.62,2028594
Nicolas Claxton,25,462,164,70,120,58.3,1,5,20,23,46,50,35,89,124,27,19,30,14,52,277,1.93,1.36,1517981
Dylan Windler,31,513,161,57,130,43.8,26,77,33.8,21,27,77.8,20,87,107,33,19,12,32,37,221,1.03,0.59,2137440
Troy Brown Jr.,34,523,161,62,144,43.1,22,70,31.4,15,21,71.4,20,85,105,29,10,6,21,49,202,1.38,0.48,3372840
Abdel Nader,24,355,160,57,116,49.1,18,43,41.9,28,37,75.7,7,55,62,19,10,9,19,34,173,1,0.53,1752950
Chimezie Metu,30,332,160,66,122,54.1,5,17,29.4,23,33,69.7,27,52,79,21,11,15,22,48,198,0.96,0.5,700000
Thanasis Antetokounmpo,51,511,160,67,130,51.5,7,27,25.9,19,41,46.3,54,68,122,43,19,10,41,70,228,1.05,0.46,1701593
Dennis Smith Jr.,23,420,154,58,145,40,19,58,32.8,19,26,73.1,12,43,55,77,23,14,26,37,203,2.96,0.89,5686677
Justise Winslow,24,464,153,65,191,34,6,48,12.5,17,29,58.6,16,87,103,44,15,12,34,43,155,1.29,0.44,13000000
Thomas Bryant,10,271,143,59,91,64.8,9,21,42.9,16,24,66.7,18,43,61,15,4,8,11,31,180,1.36,0.36,8333333
Jordan Nwora,26,230,137,48,109,44,24,53,45.3,17,21,81,4,40,44,7,14,5,20,19,122,0.35,0.7,898310
John Konchar,37,483,131,48,107,44.9,15,42,35.7,20,24,83.3,27,75,102,40,30,7,17,35,230,2.35,1.77,2093023
Maurice Harkless,30,577,127,44,108,40.7,16,57,28.1,23,28,82.1,10,52,62,27,21,15,18,67,165,1.5,1.17,3623000
Matt Thomas,38,286,124,45,108,41.7,25,67,37.3,9,10,90,5,29,34,15,3,0,13,15,99,1.15,0.23,1517981
Oshae Brissett,12,276,124,40,79,50.6,19,42,45.2,25,34,73.5,17,54,71,10,8,17,5,18,177,2,1.6,557453
Zeke Nnaji,40,363,122,45,95,47.4,20,53,37.7,12,15,80,13,45,58,8,6,4,7,28,138,1.14,0.86,2379840
Glenn Robinson III,23,369,121,42,99,42.4,16,44,36.4,21,23,91.3,11,34,45,20,4,3,11,23,123,1.82,0.36,930930
Gary Clark,37,641,119,40,131,30.5,31,108,28.7,8,10,80,33,80,113,30,12,7,17,34,171,1.77,0.71,2000000
Trey Lyles,23,358,115,43,90,47.8,14,40,35,15,23,65.2,9,77,86,14,6,1,6,13,161,2.33,1,5500000
Damian Jones,31,360,114,41,56,73.2,0,1,0,32,42,76.2,25,48,73,14,7,15,18,58,180,0.78,0.39,1023250
Ryan Arcidiacono,39,412,114,41,103,39.8,19,58,32.8,13,20,65,5,55,60,49,8,0,8,42,154,6.13,1,3000000
Isaiah Joe,35,312,111,35,106,33,28,83,33.7,13,18,72.2,6,25,31,18,9,4,9,27,88,2,1,898310
Paul Watson,27,297,111,38,82,46.3,30,64,46.9,5,8,62.5,4,41,45,17,6,3,9,36,126,1.89,0.67,1445697
Javonte Green,33,381,109,40,79,50.6,7,23,30.4,22,32,68.8,22,37,59,13,20,4,17,35,139,0.77,1.18,1517981
Killian Hayes,19,449,109,45,135,33.3,11,44,25,8,9,88.9,5,40,45,92,22,7,54,37,130,1.7,0.41,5307120
Markelle Fultz,8,215,103,41,104,39.4,4,16,25,17,19,89.5,5,20,25,43,8,2,18,18,98,2.39,0.44,12288697
E'Twaun Moore,24,348,102,43,102,42.2,8,29,27.6,8,10,80,13,29,42,35,14,4,18,31,118,1.94,0.78,2331593
Alfonzo McKinnie,35,222,101,39,75,52,14,32,43.8,9,17,52.9,17,29,46,6,5,0,4,21,110,1.5,1.25,1762796
Al-Farouq Aminu,22,418,100,38,98,38.8,8,36,22.2,16,19,84.2,21,84,105,31,18,9,28,27,172,1.11,0.64,9720900
Carsen Edwards,25,212,98,39,86,45.3,13,46,28.3,7,9,77.8,3,19,22,11,5,1,4,22,84,2.75,1.25,1517981
JaKarr Sampson,25,261,98,40,85,47.1,3,12,25,15,25,60,22,44,66,3,2,13,14,47,113,0.21,0.14,1882867
Miye Oni,46,418,93,31,87,35.6,26,77,33.8,5,6,83.3,19,54,73,21,7,8,15,53,130,1.4,0.47,1517981
Alize Johnson,15,181,92,39,65,60,1,6,16.7,13,13,100,26,63,89,14,5,4,9,15,169,1.56,0.56,399591
DaQuan Jeffries,27,364,91,35,88,39.8,15,49,30.6,6,7,85.7,17,35,52,12,10,10,10,35,111,1.2,1,1445697
Rodney McGruder,16,194,91,37,70,52.9,11,24,45.8,6,8,75,8,14,22,16,8,1,7,12,96,2.29,1.14,5000000
Jahlil Okafor,20,228,88,39,64,60.9,2,6,33.3,8,12,66.7,13,28,41,12,4,4,12,24,108,1,0.33,1882867
Sam Merrill,27,199,84,30,62,48.4,20,41,48.8,4,4,100,6,21,27,20,5,1,10,15,95,2,0.5,898310
Dewayne Dedmon,10,133,83,32,44,72.7,0,3,0,19,22,86.4,21,38,59,4,6,5,9,19,133,0.44,0.67,3447478
Jerome Robinson,17,305,83,28,95,29.5,11,42,26.2,16,20,80,4,34,38,25,12,6,19,31,74,1.32,0.63,3737520
Isaac Bonga,39,426,78,30,80,37.5,13,46,28.3,5,8,62.5,18,48,66,22,11,8,21,60,111,1.05,0.52,1663861
Luke Kornet,25,244,76,30,72,41.7,13,47,27.7,3,6,50,9,40,49,18,2,21,4,11,117,4.5,0.5,2304878
Quinn Cook,23,157,76,29,68,42.6,11,26,42.3,7,8,87.5,2,15,17,18,4,1,7,10,69,2.57,0.57,1797183
Frank Ntilikina,26,266,74,24,65,36.9,18,38,47.4,8,16,50,5,20,25,15,15,2,10,38,72,1.5,1.5,6176578
Darius Miller,18,197,73,22,48,45.8,17,42,40.5,12,12,100,2,22,24,21,13,5,8,13,102,2.63,1.63,7000000
KZ Okpala,33,389,73,29,85,34.1,12,48,25,3,10,30,18,42,60,16,8,8,13,53,89,1.23,0.62,1517981
Josh Green,32,333,72,30,70,42.9,3,20,15,9,15,60,21,39,60,18,10,3,16,23,101,1.13,0.63,2816760
Jaren Jackson Jr.,5,109,68,24,56,42.9,4,23,17.4,16,21,76.2,7,23,30,5,1,9,5,23,71,1,0.2,7257360
Chandler Hutchison,17,229,67,26,71,36.6,4,15,26.7,11,13,84.6,5,53,58,12,5,1,16,23,80,0.75,0.31,2443440
Bol Bol,28,131,66,24,47,51.1,9,20,45,9,14,64.3,0,19,19,7,3,10,13,13,64,0.54,0.23,2058240
Kelan Martin,26,163,66,25,64,39.1,9,28,32.1,7,8,87.5,10,29,39,10,6,5,9,18,77,1.11,0.67,1445697
Justin James,29,195,64,25,54,46.3,6,20,30,8,18,44.4,3,10,13,15,4,1,7,14,51,2.14,0.57,1517981
T.J. Warren,4,117,62,27,51,52.9,0,7,0,8,10,80,2,12,14,5,2,0,4,16,53,1.25,0.5,11750000
Tre Jones,30,177,59,24,54,44.4,2,3,66.7,9,9,100,5,10,15,22,6,0,12,10,60,1.83,0.5,898310
CJ Elleby,24,168,58,21,56,37.5,7,31,22.6,9,13,69.2,10,16,26,6,6,3,5,25,55,1.2,1.2,898310
Anthony Gill,22,162,57,23,42,54.8,6,20,30,5,8,62.5,14,28,42,10,8,3,6,21,92,1.67,1.33,898310
Shaquille Harrison,26,185,52,19,47,40.4,1,5,20,13,16,81.3,5,21,26,14,12,2,8,16,67,1.75,1.5,770433
Mfiondu Kabengele,31,172,51,18,50,36,8,29,27.6,7,9,77.8,3,24,27,12,6,7,10,27,59,1.2,0.6,2075880
Ed Davis,22,293,48,19,44,43.2,0,0,0,10,12,83.3,46,67,113,21,13,13,7,54,174,3,1.86,5005350
Vernon Carey Jr.,16,100,41,16,31,51.6,1,7,14.3,8,9,88.9,4,19,23,2,1,4,5,11,50,0.4,0.2,1350000
Bruno Fernando,30,198,39,13,33,39.4,0,2,0,13,20,65,15,53,68,9,2,3,20,20,74,0.45,0.1,1517981
Jabari Parker,9,103,39,18,33,54.5,0,5,0,3,4,75,7,18,25,7,1,4,7,8,53,1,0.14,6916834
Matthew Dellavedova,13,224,36,14,56,25,4,25,16,4,4,100,6,18,24,58,4,1,6,21,75,9.67,0.67,2174318
Daniel Oturu,25,103,35,15,28,53.6,0,1,0,5,8,62.5,11,17,28,7,1,3,5,14,53,1.4,0.2,898310
Romeo Langford,14,216,34,13,41,31.7,4,15,26.7,4,4,100,11,18,29,8,4,4,8,17,43,1,0.5,3631200
Chris Silva,15,92,32,10,16,62.5,1,1,100,11,15,73.3,7,20,27,6,1,6,10,24,52,0.6,0.1,1517981
Jalen Smith,23,94,32,14,33,42.4,3,12,25,1,3,33.3,6,14,20,2,1,2,5,10,31,0.4,0.2,4245720
Mamadi Diakite,12,102,31,12,29,41.4,1,7,14.3,6,6,100,6,21,27,6,4,5,3,12,53,2,1.33,529341
Rodions Kurucs,21,125,31,11,32,34.4,6,21,28.6,3,4,75,5,18,23,10,9,4,13,16,42,0.77,0.69,1780152
Thon Maker,8,76,30,10,18,55.6,0,2,0,10,11,90.9,8,10,18,4,2,4,3,7,46,1.33,0.67,309355
Elijah Hughes,15,55,25,8,26,30.8,6,20,30,3,4,75,0,7,7,5,1,1,6,1,14,0.83,0.17,898310
Rayjon Tucker,12,49,24,5,11,45.5,2,5,40,12,14,85.7,1,8,9,5,2,0,3,5,29,1.67,0.67,340000
Wenyen Gabriel,14,103,24,8,22,36.4,4,10,40,4,7,57.1,8,14,22,8,4,3,11,13,33,0.73,0.36,1620564
Dante Exum,6,116,23,10,26,38.5,2,11,18.2,1,2,50,2,15,17,13,4,2,7,9,35,1.86,0.57,9600000
Gabriel Deck,3,57,21,9,23,39.1,0,6,0,3,5,60,9,9,18,7,2,0,2,3,30,3.5,1,3870000
Spencer Dinwiddie,3,64,20,6,16,37.5,2,7,28.6,6,6,100,0,13,13,9,2,1,5,4,30,1.8,0.4,11454048
Bruno Caboclo,6,36,17,8,17,47.1,0,5,0,1,2,50,3,11,14,1,0,2,4,6,20,0.25,0,361256
Deividas Sirvydis,16,49,17,5,18,27.8,4,14,28.6,3,4,75,0,11,11,2,1,0,3,4,14,0.67,0.33,898310
Sindarius Thornwell,14,73,17,7,21,33.3,3,9,33.3,0,2,0,1,4,5,4,5,1,4,3,12,1,1.25,747435
Norvel Pelle,10,63,16,6,13,46.2,0,0,0,4,6,66.7,6,10,16,1,1,6,3,12,28,0.33,0.33,717845
Nick Richards,17,61,15,4,8,50,0,1,0,7,11,63.6,2,7,9,2,0,0,3,7,15,0.67,0,1000000
Jahmi'us Ramsey,7,26,14,6,12,50,2,7,28.6,0,0,0,1,4,5,3,1,1,1,1,17,3,1,1000000
Marquese Chriss,2,27,13,5,14,35.7,1,5,20,2,4,50,3,10,13,2,0,2,2,3,17,1,0,1824003
Udoka Azubuike,12,49,12,4,7,57.1,0,0,0,4,6,66.7,4,9,13,0,1,4,3,8,22,0,0.33,1977000
Jontay Porter,9,27,11,3,10,30,2,7,28.6,3,3,100,2,8,10,1,2,0,5,6,12,0.2,0.4,1904762
Tyrell Terry,11,56,11,5,16,31.3,0,7,0,1,3,33.3,0,6,6,6,5,0,2,2,13,3,2.5,1289846
Meyers Leonard,3,29,10,3,7,42.9,3,7,42.9,1,2,50,0,7,7,2,0,0,2,5,12,1,0,9400000
Vincent Poirier,10,39,8,3,12,25,0,1,0,2,6,33.3,6,8,14,2,0,3,4,8,10,0.5,0,2619207
Jared Dudley,11,76,6,2,7,28.6,2,5,40,0,0,0,4,15,19,5,1,1,2,7,25,2.5,0.5,2564753
Jalen Lecque,4,12,5,1,9,11.1,0,1,0,3,3,100,2,3,5,2,0,0,0,0,4,0,0,1517981
Kris Dunn,3,42,5,1,11,9.1,0,2,0,3,4,75,0,4,4,2,2,2,3,9,1,0.67,0.67,4767000
Patrick McCaw,5,33,5,1,1,100,0,0,0,3,3,100,1,2,3,4,2,0,0,6,14,0,0,4000000
Ignas Brazdeikis,5,15,2,0,4,0,0,1,0,2,2,100,1,3,4,1,0,0,1,0,2,1,0,1517981
Iman Shumpert,2,11,2,1,4,25,0,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,447155
T.J. Leaf,2,13,2,1,2,50,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,4326825
Terrance Ferguson,13,49,2,1,7,14.3,0,5,0,0,0,0,0,1,1,2,1,0,4,7,-4,0.5,0.25,3944013
Noah Vonleh,4,11,0,0,3,0,0,2,0,0,0,0,0,1,1,1,0,0,2,2,-3,0.5,0,263995
