player,team,position,games,minutes,points,rebds.,assists,steals,blocks,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA,salary
Arike Ogunbowale,Dal,G,22,748,501,61,75,34,0,48,41.2,85.6,45,10,51,143,33.6,173,420,107,125,57000
A'ja Wilson,LVA,F,22,699,450,188,45,27,44,0,48,78.1,35,34,154,0,0,166,346,118,151,57000
DeWanna Bonner,Con,G,22,732,434,172,65,37,12,27,42.2,89.5,52,34,138,107,25.2,148,351,111,124,215000
Breanna Stewart,Sea,F,20,607,394,165,72,33,26,35,45.1,89.4,50,20,145,95,36.8,133,295,93,104,185000
Kelsey Mitchell,Ind,G,22,706,394,48,62,14,2,56,44.8,84.9,54,6,42,144,38.9,138,308,62,73,58978
Skylar Diggins-Smith,Pho,G,22,675,390,73,93,20,11,46,47.4,90,70,11,62,116,39.7,127,268,90,100,215000
Betnijah Laney,Atl,G,22,738,378,107,87,35,2,30,48.1,82.7,66,24,83,74,40.5,143,297,62,75,68000
Myisha Hines-Allen,Was,F,22,659,374,195,57,32,5,26,51,82.8,48,35,160,61,42.6,150,294,48,58,57000
Diana Taurasi,Pho,G,19,533,356,79,86,19,8,61,40.9,91.2,44,2,77,167,36.5,96,235,103,113,119500
Napheesa Collier,Min,F,22,752,355,199,73,40,28,20,52.3,82.9,59,61,138,49,40.8,136,260,63,76,57000
Crystal Dangerfield,Min,G,21,629,341,41,75,18,1,34,47.1,92.2,53,5,36,102,33.3,124,263,59,64,59750
Jewell Loyd,Sea,G,22,613,340,52,70,32,6,39,44.3,87.5,42,14,38,100,39,112,253,77,88,119500
Allie Quigley,Chi,G,22,631,338,63,52,14,6,46,44.8,91.9,28,6,57,133,34.6,129,288,34,37,200000
Kahleah Copper,Chi,G,22,688,326,120,47,21,5,21,49.6,73.2,54,21,99,61,34.4,132,266,41,56,165000
Ariel Atkins,Was,G,22,682,326,64,53,39,6,44,43.8,88.6,42,18,46,107,41.1,110,251,62,70,57000
Alyssa Thomas,Con,F,21,689,325,190,101,42,6,0,50,68.6,52,39,151,1,0,122,244,81,118,117000
Candace Parker,LA,F,22,665,324,214,101,26,27,19,51,73.1,64,37,177,48,39.6,124,243,57,78,119500
Angel McCoughtry,LVA,F,22,442,317,112,54,29,6,16,51.8,88.2,38,37,75,34,47.1,117,226,67,76,185000
Chelsea Gray,LA,G,22,679,308,81,116,34,2,18,44.2,93.9,60,15,66,59,30.5,122,276,46,49,195000
Courtney Vandersloot,Chi,G,22,693,300,77,219,26,8,30,49.1,88.9,54,11,66,76,39.5,107,218,56,63,206000
Courtney Williams,Atl,G,20,615,292,143,63,13,2,8,43.6,69.6,54,37,106,34,23.5,134,307,16,23,185000
Dearica Hamby,LVA,F,22,615,286,157,60,37,4,18,53.9,71.6,45,28,129,38,47.4,110,204,48,67,117000
Damiris Dantas,Min,C,22,586,283,134,58,25,5,39,46.4,72.7,40,37,97,90,43.3,102,220,40,55,105000
Chennedy Carter,Atl,G,16,406,279,36,55,14,5,12,47.3,82.1,43,8,28,32,37.5,106,224,55,67,68000
Candice Dupree,Ind,F,22,667,276,125,55,16,9,3,46.2,85.4,28,27,98,18,16.7,116,251,41,48,119500
Kayla McBride,LVA,G,22,587,275,51,52,26,2,25,42.5,89.7,31,9,42,73,34.2,90,212,70,78,117000
Cheyenne Parker,Chi,F,20,497,268,128,30,26,18,15,55.4,85.5,55,47,81,32,46.9,97,175,59,69,110000
Allisha Gray,Dal,G,20,524,261,84,26,22,6,25,46.4,83.1,22,27,57,71,35.2,91,196,54,65,65779
Emma Meesseman,Was,C,20,634,260,106,90,24,16,13,45.4,82.9,40,33,73,45,28.9,109,240,29,35,215000
Kia Nurse,NY,G,21,578,256,60,48,11,4,31,27.3,86.4,46,11,49,130,23.8,68,249,89,103,57000
Tiffany Mitchell,Ind,G,19,505,242,65,49,12,2,17,34.6,95.1,45,15,50,73,23.3,74,214,77,81,140000
Jackie Young,LVA,G,22,564,241,95,67,15,2,3,49.2,85.2,35,18,77,13,23.1,93,189,52,61,57000
Teaira McCowan,Ind,C,22,466,240,161,14,7,22,0,53.6,75,43,69,92,3,0,90,168,60,80,57000
Nneka Ogwumike,LA,F,18,476,240,87,31,19,3,9,56.9,83.7,28,21,66,18,50,95,167,41,49,117000
Brionna Jones,Con,C,21,549,235,118,21,35,14,1,60.5,69.1,34,59,59,1,100,98,162,38,55,68000
Elizabeth Williams,Atl,F,22,647,223,125,31,17,30,0,48.9,74.2,25,49,76,0,0,87,178,49,66,117000
Satou Sabally,Dal,F,16,451,222,124,40,13,14,13,36.8,87.2,35,41,83,66,19.7,67,182,75,86,68000
Riquna Williams,LA,G,21,444,221,38,31,24,7,43,43.5,88.9,19,3,35,102,42.2,81,186,16,18,112000
Alysha Clark,Sea,F,22,633,219,93,59,33,11,35,55.8,80,19,19,74,67,52.2,82,147,20,25,85800
Layshia Clarendon,NY,G,19,496,218,48,74,18,0,15,46.5,87.3,65,6,42,44,34.1,74,159,55,63,120000
Jazmine Jones,NY,G,20,428,216,81,45,28,9,15,40.4,78.8,57,18,63,45,33.3,69,171,63,80,196378
Brittney Sykes,LA,G,21,517,212,54,45,31,6,16,48.7,80.6,36,16,38,49,32.7,73,150,50,62,68000
Brittney Griner,Pho,C,12,382,212,90,36,4,22,0,49.7,80.9,30,18,72,1,0,87,175,38,47,215000
Natasha Howard,Sea,F,22,463,209,156,22,38,14,7,53,77.8,46,52,104,20,35,87,164,28,36,117000
Leilani Mitchell,Was,G,22,673,209,62,119,17,1,29,40.8,87.2,38,11,51,95,30.5,73,179,34,39,127000
Jasmine Thomas,Con,G,19,485,194,33,76,24,5,21,40.4,91.3,46,4,29,63,33.3,76,188,21,23,119500
Bria Hartley,Pho,G,13,322,190,38,58,15,0,25,42,80.5,27,5,33,65,38.5,66,157,33,41,185000
Marina Mabrey,Dal,G,18,403,190,59,43,25,2,38,43,66.7,31,11,48,91,41.8,68,158,16,24,57000
Monique Billings,Atl,F,22,596,187,187,27,24,18,0,40,76.1,42,58,129,0,0,68,170,51,67,57000
Sami Whitcomb,Sea,G,22,363,178,50,44,16,3,32,44.3,100,22,4,46,84,38.1,62,140,22,22,68000
Gabby Williams,Chi,F,22,546,170,88,44,29,5,20,42.4,64,37,20,68,70,28.6,67,158,16,25,58978
Danielle Robinson,LVA,G,22,495,163,53,72,19,2,5,51.2,81,28,5,48,13,38.5,62,121,34,42,130000
Kayla Thornton,Dal,F,22,557,161,113,17,20,4,25,42.5,87.5,25,32,81,72,34.7,54,127,28,32,87700
Brianna Turner,Pho,F,22,614,159,198,39,24,43,0,57.9,64.3,31,57,141,1,0,66,114,27,42,57000
Kennedy Burke,Ind,G,22,400,159,39,25,14,8,15,44.9,71.4,27,19,20,48,31.3,57,127,30,42,57000
Jordin Canada,Sea,G,20,483,157,46,109,30,0,1,42.4,77.2,40,10,36,11,9.1,56,132,44,57,57000
Shatori Walker-Kimbrough,Pho,G,21,400,153,34,32,23,8,22,42.9,92,21,6,28,51,43.1,54,126,23,25,60867
Tianna Hawkins,Was,F,17,329,145,60,17,14,6,17,40.8,84.6,20,12,48,57,29.8,53,130,22,26,71400
Ezi Magbegor,Sea,C,22,292,144,54,7,12,16,1,56.9,70.4,9,25,29,3,33.3,62,109,19,27,57000
Tyasha Harris,Dal,G,21,412,143,26,58,18,3,19,43.3,63.6,18,0,26,56,33.9,55,127,14,22,65250
Natalie Achonwa,Ind,F,18,361,140,99,31,9,11,0,49.6,81.3,33,26,73,10,0,57,115,26,32,107000
Te'a Cooper,LA,G,20,345,139,20,40,13,0,11,45.1,76.5,29,2,18,32,34.4,51,113,26,34,59750
Rachel Banham,Min,G,20,339,137,25,47,9,2,25,46.2,80,20,2,23,53,47.2,48,104,16,20,100000
Shekinna Stricklen,Atl,G,22,482,135,42,14,7,1,33,34.1,100,15,4,38,99,33.3,47,138,8,8,170000
Natisha Hiedeman,Con,G,22,408,134,42,41,8,0,23,35.4,70,24,8,34,64,35.9,45,127,21,30,57000
Sydney Wiese,LA,G,19,363,130,33,22,11,2,25,50.5,91.7,22,5,28,53,47.2,47,93,11,12,68000
Blake Dietrick,Atl,G,22,463,129,36,75,18,3,26,47.1,62.5,40,8,28,58,44.8,49,104,5,8,68000
Jocelyn Willoughby,NY,G,22,383,128,53,20,15,6,15,35.8,83.3,31,15,38,37,40.5,39,109,35,42,62500
Kiah Stokes,NY,C,22,601,126,147,26,11,26,20,37.2,57.1,28,28,119,85,23.5,51,137,4,7,91000
Ruthy Hebard,Chi,F,22,320,125,86,7,10,8,0,68.2,75,15,18,68,0,0,58,85,9,12,65250
Seimone Augustus,LA,G,21,332,124,37,25,12,2,12,49.1,66.7,8,3,34,22,54.5,54,110,4,6,110000
Odyssey Sims,Min,G,13,240,122,26,45,7,1,8,40.4,90.9,25,8,18,24,33.3,42,104,30,33,117000
Leaonna Odom,NY,F,22,453,121,50,16,15,8,5,49,87,15,34,16,20,25,48,98,20,23,59750
Alanna Smith,Pho,F,19,296,116,69,23,5,15,10,42.2,69,18,21,48,43,23.3,43,102,20,29,57000
Kaila Charles,Con,G,21,376,113,54,19,16,7,11,41.2,71,19,23,31,30,36.7,40,97,22,31,59750
Katie Lou Samuelson,Dal,G,22,439,110,53,30,15,8,19,41.7,73.3,12,8,45,60,31.7,40,96,11,15,57000
Lexie Brown,Min,G,17,374,109,33,41,31,0,14,34.2,79.2,24,3,30,52,26.9,38,111,19,24,57000
Sue Bird,Sea,G,11,257,108,19,57,7,2,23,49.4,75,18,1,18,49,46.9,41,83,3,4,215000
Kiara Leslie,Was,G,19,415,105,57,20,9,7,17,35.2,92.3,18,15,42,47,36.2,38,108,12,13,57000
Sophie Cunningham,Pho,G,21,396,104,22,16,11,3,12,38.5,88,15,9,13,51,23.5,35,91,22,25,57000
Sylvia Fowles,Min,C,7,168,102,68,6,6,8,0,60.9,82.8,8,21,47,0,0,39,64,24,29,115627
Aerial Powers,Was,F,6,179,98,29,15,9,0,9,46.4,83.3,11,2,27,26,34.6,32,69,25,30,80000
Stefanie Dolson,Chi,C,15,273,96,52,25,6,13,12,49.3,73.7,15,11,41,32,37.5,35,71,14,19,180250
Diamond DeShields,Chi,G,13,224,89,23,20,12,1,3,43.4,77.8,30,3,20,18,16.7,36,83,14,18,58978
Bria Holmes,Con,G,18,291,88,33,20,13,5,10,35.7,66.7,18,13,20,30,33.3,35,98,8,12,130000
Shenise Johnson,Min,G,17,212,87,33,21,16,1,6,34.1,89.3,20,10,23,17,35.3,28,82,25,28,106000
Glory Johnson,Atl,F,18,277,85,67,11,15,7,11,37.3,50,13,7,60,42,26.2,31,83,12,24,165000
Isabelle Harrison,Dal,C,13,258,83,60,18,9,5,0,44.7,78.9,18,19,41,3,0,34,76,15,19,150000
Kylee Shook,NY,F,20,290,81,56,11,7,10,3,40.5,82.4,20,15,41,17,17.6,32,79,14,17,59750
Mikiah Herbert Harrigan,Min,F,21,234,79,48,7,8,9,14,36.6,71.4,15,14,34,33,42.4,30,82,5,7,65250
Kristine Anigwe,LA,F,17,197,78,45,4,11,7,0,60.4,53.8,16,18,27,0,0,32,53,14,26,57000
Mercedes Russell,Sea,C,22,304,78,70,13,8,8,0,41,56,16,16,54,0,0,32,78,14,25,57000
Paris Kea,NY,G,11,165,76,22,16,7,3,13,38.4,87.5,19,5,17,33,39.4,28,73,7,8,57000
Sugar Rodgers,LVA,G,22,263,75,28,31,7,3,20,32.1,75,16,3,25,64,31.3,26,81,3,4,80000
Lindsay Allen,LVA,G,21,284,70,23,51,7,1,6,41.8,80,16,6,17,18,33.3,28,67,8,10,57000
Briann January,Con,G,13,303,65,16,44,8,2,11,29.3,83.3,15,4,12,30,36.7,22,75,10,12,119500
Epiphanny Prince,Sea,G,15,190,64,18,21,6,2,9,38.6,84.6,12,1,17,27,33.3,22,57,11,13,68000
Bella Alarie,Dal,F,22,309,59,63,11,14,19,1,36.4,83.3,10,23,40,13,7.7,24,66,10,12,65250
Megan Walker,NY,F,18,205,59,27,6,4,0,6,32.1,60,7,11,16,43,14,25,78,3,5,62500
Joyner Holmes,NY,F,19,190,56,51,13,2,2,3,30.6,75,13,15,36,28,10.7,22,72,9,12,59750
Sabrina Ionescu,NY,G,3,80,55,14,12,2,0,7,45.2,100,13,2,12,20,35,19,42,10,10,68000
Kaleena Mosqueda-Lewis,Con,F,16,164,54,21,4,3,1,12,29.7,57.1,7,1,20,47,25.5,19,64,4,7,71400
Erica McCall,Min,F,19,178,51,47,3,5,7,1,35.6,81.8,9,23,24,4,25,16,45,18,22,68000
Alaina Coates,Was,C,20,197,50,55,9,7,4,0,52.9,53.8,12,20,35,0,0,18,34,14,26,57000
Lauren Cox,Ind,F,14,178,50,46,19,6,4,3,41.9,73.3,11,10,36,6,50,18,43,11,15,68000
Tierra Ruffin-Pratt,LA,G,17,251,49,36,15,11,3,6,26.7,73.1,9,9,27,13,46.2,12,45,19,26,90000
Beatrice Mompremier,Con,F,21,187,48,70,3,5,13,0,42.6,44.4,14,32,38,0,0,20,47,8,18,59750
Astou Ndour,Dal,C,13,151,46,38,6,3,6,6,35.1,0,6,13,25,25,24,20,57,0,0,185000
Stella Johnson,Was,G,5,94,46,10,12,5,2,9,48.5,100,4,4,6,14,64.3,16,33,5,5,33060
Moriah Jefferson,Dal,G,9,150,45,28,19,7,2,2,41.9,58.3,15,8,20,6,33.3,18,43,7,12,170000
Nia Coffey,Pho,F,15,230,40,37,12,5,5,7,42.1,16.7,7,5,32,21,33.3,16,38,1,6,68000
Jacki Gemelos,Was,G,12,193,38,17,14,4,1,6,31.3,50,9,3,14,29,20.7,15,48,2,4,57000
Kayla Alexander,Min,C,16,89,37,15,3,2,3,0,53.3,62.5,6,9,6,0,0,16,30,5,8,68000
Sug Sutton,Was,G,12,113,34,9,12,1,0,5,36.4,71.4,6,0,9,17,29.4,12,33,5,7,31290
Shey Peddy,Pho,G,8,141,32,24,19,12,1,2,29.4,100,7,7,17,19,10.5,10,34,10,10,57000
Shey Peddy,Was,G,9,115,32,11,11,7,0,2,31,100,8,2,9,15,13.3,9,29,12,12,57000
Theresa Plaisance,Con,F,13,90,32,13,1,5,3,5,37.9,83.3,2,2,11,17,29.4,11,29,5,6,104000
Kalani Brown,Atl,C,10,61,30,12,0,1,1,0,52.2,60,5,3,9,0,0,12,23,6,10,57000
Victoria Vivians,Ind,G,6,85,29,14,3,1,0,2,34.5,87.5,6,2,12,11,18.2,10,29,7,8,57000
Sydney Colson,Chi,G,17,110,28,7,14,6,0,3,42.9,87.5,14,1,6,9,33.3,9,21,7,8,70000
Kathleen Doyle,Ind,G,18,155,27,15,19,7,0,5,24.4,50,18,3,12,21,23.8,10,41,2,4,59750
Kamiah Smalls,Ind,G,7,100,27,8,14,1,1,7,45,100,2,5,3,12,58.3,9,20,2,2,28500
Stephanie Mavunga,Ind,F,5,59,25,20,3,0,2,0,44.4,81.8,5,7,13,2,0,8,18,9,11,57000
Crystal Langhorne,Sea,F,13,107,18,28,6,1,1,1,41.2,50,11,3,25,5,20,7,17,3,6,105000
Morgan Tuck,Sea,F,10,88,17,6,2,5,0,2,31.3,62.5,6,2,4,9,22.2,5,16,5,8,115000
Jaylyn Agnew,Atl,F,12,71,15,5,3,0,0,3,26.7,80,5,0,5,13,23.1,4,15,4,5,59750
Megan Gustafson,Dal,F,9,47,14,11,1,0,1,0,28.6,66.7,2,6,5,1,0,4,14,6,9,62000
Reshanda Gray,LA,F,10,62,14,28,3,1,4,0,36.4,85.7,10,6,22,0,0,4,11,6,7,57000
Jacki Gemelos,Con,G,6,29,11,2,1,2,0,3,50,0,3,0,2,6,50,4,8,0,0,57000
Stephanie Mavunga,Chi,F,5,36,10,13,2,1,0,0,45.5,0,6,3,10,3,0,5,11,0,0,57000
Karima Christmas-Kelly,Min,G,2,25,9,6,1,3,1,0,14.3,87.5,4,1,5,3,0,1,7,7,8,104000
Avery Warley-Talbert,LVA,F,3,24,8,8,3,0,0,0,42.9,66.7,2,5,3,0,0,3,7,2,3,21760
Alisia Jenkins,Pho,F,2,23,8,3,0,0,0,0,25,66.7,3,0,3,3,0,2,8,4,6,5130
Alexis Prince,Chi,G,2,16,8,3,0,0,1,2,60,0,0,2,1,3,66.7,3,5,0,0,9120
Cierra Burdick,LVA,F,13,28,4,5,2,0,0,0,28.6,0,1,1,4,0,0,2,7,0,0,58480
Brittany Brewer,Atl,F,5,33,4,5,0,3,4,0,66.7,0,2,1,4,0,0,2,3,0,0,59750
Stella Johnson,Chi,G,4,6,0,2,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,33060
Emma Cannon,LVA,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4560
Alisia Jenkins,Chi,F,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5130
Alisia Jenkins,Ind,F,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5130
Kaela Davis,Atl,G,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57000
Erica McCall,Atl,F,1,5,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,68000
